meter_id,owner_id,wallet,kwh,window_epoch,mint_sig,slot,confirmed,grid_balance,delivered_onchain
1088415b-b577-4698-b563-bf212bc819bf,84144f5b-fd2d-4766-8a9f-9120bdf5a82c,3rxqAsdzMHxL23JCzUAT65iWCtKkVJffevpNkbek7fMZ,5.0,1783693800,3TgcBfnXHeK8vR3kzmXKvvyVooDMg3xpVpM7zTuSsbWHgB8Y1iSy823FvDvPkdANdSWN7cpsevX1fGrpcBVVENyS,572,True,5.0,True
7282877b-ae28-4c92-96a7-7acbbb7fe440,305efcf9-c8b2-4cb1-9743-f6bb4b878c5d,RikzZFpTiwH8zNY2tcPbX1tUQ1ULyys3AcdyjYS1Q3Z,5.0,1783693800,2ikReLZ18WLXupYo1c4gzgfon6NExrUvHT5bw8xo5zCiBRfPk76SdBA7AmNDCsUSGpsiqpaL7Yc9YbCuFWb1V1Pk,572,True,5.0,True
408a0737-9666-4da7-9ae0-95c315f8627b,d795d943-1dd8-4ead-bf65-dce0b0c16132,74Zh8Tvn4JzfGvfyioKwiyD3dZA94KALc9ccbEPDCe2w,5.0,1783693800,2NzH28manknwR9DjLES1t4fPhH1RqUXkrhSB1fpCtpPjEoTtacMd2rX9vGhRjXrDzH353qkCxAqQdhHmHpgEHjfU,572,True,5.0,True
6cce58e5-0fb6-4aab-b051-24d72cc29096,362d389b-e187-4564-99f9-0a7408c8b279,4sY52KG7Cznmwe1Hkv93fmSXwTYVajZoD2fUN36yBUDN,5.0,1783693800,47Q1wJ66JNG4dnGzTArLwH8y8mHEHe3ZZ62T1mYsyo7DVAhLgJkkq7iUed8GxLEhhcRQZ72H6S4e5jHB57WSu2jE,572,True,5.0,True
3f085f2a-ca93-4c29-b413-7994a13ad642,754e0a79-fafe-4b37-ae62-342b59275653,Hmo5REGK8vEmYHpE44Vw4NJ41Uubpiauwb5MdoH7vXyJ,5.0,1783693800,3q2fRjS4m4xddhCvLbgFUnuF7j3PDKxBbJErbw4rYKEQGrtvX8FawEkeaKLWQgJmtF62RLi1hspju5UzLWmGxcUs,572,True,5.0,True
d6147ad9-28a8-43b7-85ad-4e6e33d333a3,f7eab8d7-9cfc-4793-903c-f87db6cdb1c8,7FxkaFDAwfKphQwf66a9CJqsrmP67mL5vd9biTuszmwG,5.0,1783693800,2q9bJYHLFbz35NJBGNrX98s15zFRfG7gcc2ye81gqqNR4L5jrWN2tnjp4hvpLDkGvFM4756Wh795DX7SCGnSHD9Y,572,True,5.0,True
70adb05f-37f7-43ad-830b-65dc93b6416f,ad333e3c-1002-4b74-9c76-b5e96e4e8c55,7MQKi46F5xt3n3AtA6Yx5ndWzKdEEi5bNrMovJL64b5T,5.0,1783693800,5FFkHsEYBeif2egSrMmfZQqeoLJK2Qx47wR5PU4MFMzVKcD6Fajyv1i2cXj9JjCKXrfHxrNa8XBpobuJGqe9un33,572,True,5.0,True
1db825b1-f555-48d8-97e0-cce3ed5fbc26,9fae3cda-58ad-40dd-a339-3a4aeb3c0316,C8YnA4TyVaFK7gCJUuNwtLy2aym35gW3F4koasCWr2wu,5.0,1783693800,3bzFKcx76xkmtbK4LJT7h3qioGR2suNZNqVBsZkSJZetBEDUt3AsWCzmwcffWeSdV2F4sorvW1vVssv1qhucyFja,572,True,5.0,True
b85cd95b-5701-4d27-a86b-b7c2c31dd1ea,e2d3d94e-b8da-45f7-89e0-424b1b5bc03d,F9zayWCcEovBi8V9Kn65cYkUc5mVQJAta4akHpnCZhPX,5.0,1783693800,53i53TPxzAxtrfqQTAJS1RAaNaAUSmxhwjwmaKU1UiHv9Rq9uASZwmTAFfpRxLVtT3cdGHwtPKyRBq99VfZHeCd8,572,True,5.0,True
11cb3325-90fe-4a44-95a1-e65768dfe69b,0cf2ef76-2acf-48de-b384-0c1ce712ba74,EfeiVuUEHzY96jByMpEFgJdSSfEBuZ4kWcFszbmSNvbj,5.0,1783693800,2B8VWCZuHdx7YqkuZeuUQr3PaEBQsT7NwFQkTsmTWcKzesSWRDwCcYeP4xL3iksrXSr1GNukTeM2zaYqBHxNCewh,593,True,5.0,True
